artikelnr;karpi_code;omschrijving
691230004;ANTQ23XX190280;ANTIQUE Kleur 23 CA: 190x280 cm
691230006;ANTQ23XX190290;ANTIQUE Kleur 23 CA: 190x290 cm
691230001;ANTQ23XX200290;ANTIQUE Kleur 23 CA: 200x290 cm
691250002;ANTQ25XX040040;ANTIQUE Kleur 25 CA: 040x040 cm
691250000;ANTQ25XX170240;ANTIQUE Kleur 25 CA: 170x240 cm
691250003;ANTQ25XX170250;ANTIQUE Kleur 25 CA: 170x250 cm
691250004;ANTQ25XX170280;ANTIQUE Kleur 25 CA: 170x280 cm
691250001;ANTQ25XX200290;ANTIQUE Kleur 25 CA: 200x290 cm
691250005;ANTQ25XX200310;ANTIQUE Kleur 25 CA: 200x310 cm
691300002;ANTQ30XX040040;ANTIQUE Kleur 30 CA: 040x040 cm
691300003;ANTQ30XX160280;ANTIQUE Kleur 30 CA: 160x280 cm
691300000;ANTQ30XX170240;ANTIQUE Kleur 30 CA: 170x240 cm
691300004;ANTQ30XX175255;ANTIQUE Kleur 30 CA: 175x255 cm
691300005;ANTQ30XX175280;ANTIQUE Kleur 30 CA: 175x280 cm
691300001;ANTQ30XX200290;ANTIQUE Kleur 30 CA: 200x290 cm
691300006;ANTQ30XX200300;ANTIQUE Kleur 30 CA: 200x300 cm
691310002;ANTQ31XX040040;ANTIQUE Kleur 31 CA: 040x040 cm
691310004;ANTQ31XX165275;ANTIQUE Kleur 31 CA: 165x275 cm
691310000;ANTQ31XX170240;ANTIQUE Kleur 31 CA: 170x240 cm
691310003;ANTQ31XX180290;ANTIQUE Kleur 31 CA: 180x290 cm
691310005;ANTQ31XX180290;ANTIQUE Kleur 31 CA: 180x290 cm
691310006;ANTQ31XX195300;ANTIQUE Kleur 31 CA: 195x300 cm
691310001;ANTQ31XX200290;ANTIQUE Kleur 31 CA: 200x290 cm
691340001;ANTQ34XX040040;ANTIQUE Kleur 34 CA: 040x040 cm
691340006;ANTQ34XX165283;ANTIQUE Kleur 34 CA: 165x283 cm
691340000;ANTQ34XX170240;ANTIQUE Kleur 34 CA: 170x240 cm
691340003;ANTQ34XX180310;ANTIQUE Kleur 34 CA: 180x310 cm
691340004;ANTQ34XX195285;ANTIQUE Kleur 34 CA: 195x285 cm
691340005;ANTQ34XX195300;ANTIQUE Kleur 34 CA: 195x300 cm
691340002;ANTQ34XX200290;ANTIQUE Kleur 34 CA: 200x290 cm
691410002;ANTQ41XX040040;ANTIQUE Kleur 41 CA: 040x040 cm
691410000;ANTQ41XX170240;ANTIQUE Kleur 41 CA: 170x240 cm
691410004;ANTQ41XX170270;ANTIQUE Kleur 41 CA: 170x270 cm
691410005;ANTQ41XX180250;ANTIQUE Kleur 41 CA: 180x250 cm
691410003;ANTQ41XX185285;ANTIQUE Kleur 41 CA: 185x285 cm
691410001;ANTQ41XX200290;ANTIQUE Kleur 41 CA: 200x290 cm
691410006;ANTQ41XX200300;ANTIQUE Kleur 41 CA: 200x300 cm
691420000;ANTQ42XX040040;ANTIQUE Kleur 42 CA: 040x040 cm
691430002;ANTQ43XX040040;ANTIQUE Kleur 43 CA: 040x040 cm
691430000;ANTQ43XX170240;ANTIQUE Kleur 43 CA: 170x240 cm
691430001;ANTQ43XX200290;ANTIQUE Kleur 43 CA: 200x290 cm
691510002;ANTQ51XX040040;ANTIQUE Kleur 51 CA: 040x040 cm
691510000;ANTQ51XX170240;ANTIQUE Kleur 51 CA: 170x240 cm
691510001;ANTQ51XX200290;ANTIQUE Kleur 51 CA: 200x290 cm
691690002;ANTQ69XX040040;ANTIQUE Kleur 69 CA: 040x040 cm
691690004;ANTQ69XX150270;ANTIQUE Kleur 69 CA: 150x270 cm
691690000;ANTQ69XX170240;ANTIQUE Kleur 69 CA: 170x240 cm
691690003;ANTQ69XX190280;ANTIQUE Kleur 69 CA: 190x280 cm
691690005;ANTQ69XX190310;ANTIQUE Kleur 69 CA: 190x310 cm
691690001;ANTQ69XX200290;ANTIQUE Kleur 69 CA: 200x290 cm
718210011;ANTU21XX040040;ANTIQUA Kleur 21 CA: 040x040 cm
