GLN;Adres;Postcode;Plaats;Land
9007019003948;Peigertinger Strasse 9;94538;Fürstenstein;Duitsland
9007019016108;Posthausen 1;28869;Posthausen;Duitsland
9007019016481;Posthausen 1;28869;Posthausen;Duitsland
9007019016351;Posthausen 1;28870;Ottersberg;Duitsland
9007019003191;Robert Boschstr. 11;70734;Fellbach/Stuttgart;Duitsland
9007019021690;Robert-Bosch-Straße 12;78073;Bad Dürrheim;Duitsland
9007019021249;Robert-Hesse-Straße 3;30827;Garbsen;Duitsland
9007019026213;Robert-Hesse-Straße 3;30827;Garbsen;Duitsland
9007019021065;Robert-Hesse-Straße 3;30827;Garbsen / Hannover;Duitsland
9007019021454;Robert-Hesse-Straße 3;30827;Garbsen / Hannover;Duitsland
9007019021768;Robert-Hesse-Straße 3;30827;Garbsen / Hannover;Duitsland
9007019021102;Roemerstrasse 115;63785;Obernburg Am Main;Duitsland
9007019013312;Römerstr. 39;4600;Wels;Oostenrijk
9007019020921;Römerstraße 115;63785;Obernburg am Main;Duitsland
9007019021935;Römerstraße 115a;63785;Obernburg am Main;Duitsland
9007019019321;Rossweide 1;94431;Pilsting;Duitsland
9007019020686;Rossweide 1;94431;Pilsting;Duitsland
9007019019383;Rossweide 3;94331;Pilsting;Duitsland
9007019020051;Rossweide 3;94431;Pilsting;Duitsland
9007019017488;Rossweide 5;94431;Pilsting;Duitsland
9007019021669;Rudolf-Diesel-Straße 4;72250;Freudenstadt;Duitsland
9007019020938;Schäferweg 8;24941;Flensburg;Duitsland
9007019021621;Schleswiger Straße 103 - 105;24941;Flensburg;Duitsland
9007019021645;Schleswiger Straße 103 - 105;24941;Flensburg;Duitsland
9007019020662;Schönbachstraße 192;86154;Augsburg;Duitsland
9007019010823;Schossbergstrasse 23;65201;Wiesbaden;Duitsland
9007019021720;Schwarzenbacher Straße 9;88348;Bad Saulgau;Duitsland
9007019007571;Siemens-Strasse 9;84030;Landshut;Duitsland
9007019006970;Siemensstrasse 9;84030;Landshut;Duitsland
9007019007601;Spreewaldallee 38;68309;Mannheim;Duitsland
9007019005324;Spreewaldallee 40;68309;Mannheim;Duitsland
9007019005300;Spreewaldallee 40;68309;Mannheim;Duitsland
9009852030402;Spreewaldallee 40c;68309;Mannheim;Duitsland
9007019000329;Steinbachstrasse 42;94036;Passau;Duitsland
9007019016337;Steinbeisstrasse 1-3;74360;Ilsfeld;Duitsland
9007019012100;Strassburger Strasse 58;46047;Oberhausen;Duitsland
9009852029826;Straßburger Straße 52-60;46047;Oberhausen;Duitsland
9009852031287;Suelzenbruecker Strasse 7;99192;Apfelstaedt;Duitsland
9007019001081;Sulzfeldstrasse 1;93055;Regensburg;Duitsland
9007019001074;Sulzfeldstraße 1;93055;Regensburg;Duitsland
9007019021195;Theaterstraße 15;30159;Hannover;Duitsland
9007019021676;Theo-Greiner-Straße 1;66424;Hombrug-Einöd;Duitsland
9007019004488;Theresienhöhe 5;80339;München;Duitsland
9007019021218;Thomas-Dachser-Allee 1;12529;Berlin-Schönefeld;Duitsland
9007019013800;Unter Dem Issel;56412;Goergeshausen;Duitsland
9007019019420;Unter der Issel;56412;Görgeshausen;Duitsland
9007019002293;Unterer Kirchbergweg;97084;Würzburg;Duitsland
9007019021744;Unterer Kirchbergweg 67;97084;Würzburg;Duitsland
9007019001166;Unterer Talweg 49;86179;Augsburg;Duitsland
9007019013848;Vahrenwalderstr. 312;30179;Hannover Vahrenheide;Duitsland
9007019005355;Voltastrasse 5;63303;Dreieich;Duitsland
9009852031089;Vorderer Eckweg 21;78048;Villingen-Schwenningen;Duitsland
9007019021751;Wasserweg 2a;64521;Gross Gerau;Duitsland
9007019005171;Wendebrück 12 + 16;38110;Braunschweig;Duitsland
9007019021928;Wendenmühle 4b;38110;Braunschweig;Duitsland
9007019002088;Wendenmühle 5;38110;Braunschweig;Duitsland
9007019002521;Westring 3;91717;Wassertrüdingen;Duitsland
9007019011707;Wiesenweg 11;97084;Wuerzburg;Duitsland
9007019005898;Wiesenweg 12;97084;Würzburg;Duitsland
9007019020945;Wittenberger Weg 14;24941;Flensburg;Duitsland
9007019021256;Wittenberger Weg 14;24976;Flensburg;Duitsland
9007019011233;Wolff-Knippenberg-Strasse 2a;99334;Amt Wachsenburg;Duitsland
9007019011240;Wolff-Knippenberg-Strasse 2a;99334;Amt Wachsenburg;Duitsland
9007019022314;Wolff-Knippenberg-Straße 2b;99334;Amt Wachsenburg;Duitsland
9007019020631;Wolff-Knippenberg-Straße 700;99334;Amt Wachsenburg;Duitsland
9007019020648;Wolff-Knippenberg-Straße 700;99334;Amt Wachsenburg;Duitsland
9007019018430;Zeche Katharina 8;45307;Essen;Duitsland
